Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
"Denis ""Sonny"" O'Gorman",M,32.0,160.0,54.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,No Medal,160.0,54.0
Marco Marin,M,29.0,180.0,71.0,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",No Medal,180.0,71.0
Andrey Leonidovich Stas,M,21.0,187.0,83.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,187.0,83.0
Mario Jos Garca Rodrguez,M,25.0,190.0,91.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,No Medal,190.0,91.0
Jerzy Wadysaw Pawowski,M,31.0,174.0,74.0,Poland,POL,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Men's epee, Team",No Medal,174.0,74.0
Johannes Lauridsen,M,29.0,173.0,61.0,Denmark,DEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Marathon,No Medal,173.0,61.0
Olaf Zinke,M,25.0,182.0,80.0,Germany,GER,1992 Winter,1992,Winter,Albertville,Speed Skating,Speed Skating Men's 500 metres,No Medal,182.0,80.0
Ion Luchianov,M,27.0,178.0,68.0,Moldova,MDA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",No Medal,178.0,68.0
Anatoliy Petrovych Yarosh,M,27.0,191.0,130.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,No Medal,191.0,130.0
Carl-Axel Christiernsson,M,22.0,182.0,71.0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 110 metres Hurdles,No Medal,182.0,71.0
Adrian Francis Powell,M,35.0,170.0,63.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,170.0,63.0
Isbel Luaces McKullock,M,21.0,187.0,97.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Javelin Throw,No Medal,187.0,97.0
Bjrn Maaseide,M,28.0,196.0,95.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,No Medal,196.0,95.0
Benjamin Raich,M,31.0,182.0,83.0,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,No Medal,182.0,83.0
Heike Ltzsch (-Wedekind),F,30.0,173.0,53.0,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold,173.0,53.0
Knut Rudolf Fredriksson,M,30.0,195.0,85.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Javelin Throw,No Medal,195.0,85.0
Shi Wancheng,M,23.0,179.0,78.0,China,CHN,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Halfpipe,No Medal,179.0,78.0
Kim Deok-Pal,M,22.0,177.0,77.0,South Korea,KOR,1964 Summer,1964,Summer,Tokyo,Boxing,Boxing Men's Middleweight,No Medal,177.0,77.0
Szvetiszlv Sasics,M,28.0,179.0,72.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Individual,No Medal,179.0,72.0
Mika Antero Laitinen,M,24.0,189.0,63.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Ski Jumping,"Ski Jumping Men's Large Hill, Team",No Medal,189.0,63.0
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,180.0,83.0
Giorgi Asanidze,M,28.0,173.0,85.0,Georgia,GEO,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold,173.0,85.0
Brice Panel,M,25.0,174.0,58.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,174.0,58.0
Huang Shiping,M,21.0,166.0,63.0,China,CHN,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Running Target, 50 metres",Bronze,166.0,63.0
Paolo Passerini,M,26.0,175.0,76.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Baseball,Baseball Men's Baseball,No Medal,175.0,76.0
Zeng Qiliang,M,21.0,174.0,72.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,174.0,72.0
Daniel Mahrer,M,26.0,184.0,78.0,Switzerland,SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Downhill,No Medal,184.0,78.0
Aggrey Sheroy Awori,M,21.0,188.0,77.0,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,No Medal,188.0,77.0
"Cynthia Nicole ""Cindy"" Klassen",F,26.0,173.0,71.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Speed Skating,"Speed Skating Women's 1,500 metres",Gold,173.0,71.0
Andela Brice (Mosina-),F,27.0,161.0,50.0,Latvia,LAT,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,No Medal,161.0,50.0
Ratjai Sripet,F,23.0,158.0,48.0,Thailand,THA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,No Medal,158.0,48.0
Jack David Laugher,M,21.0,166.0,65.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Men's Springboard,Silver,166.0,65.0
Shea Michael Weber,M,24.0,193.0,104.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,193.0,104.0
Terry Ronald Tiffee,M,29.0,190.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze,190.0,102.0
Ville Juhani Nieminen,M,24.0,182.0,97.0,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,182.0,97.0
Ivan Harris Riley,M,23.0,183.0,74.0,United States,USA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 400 metres Hurdles,Bronze,183.0,74.0
