Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Hans-Peter Ferner,M,28.0,176.0,72.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,No Medal,176.0,72.0
Martin Jak,M,27.0,185.0,74.0,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,185.0,74.0
Daniel Dohou Dossou,M,28.0,173.0,68.0,Benin,BEN,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,No Medal,173.0,68.0
"Vladimir ""Vlada"" Vujasinovi",M,34.0,187.0,98.0,Serbia,SRB,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Bronze,187.0,98.0
Sergey Babikov,M,36.0,170.0,100.0,Tajikistan,TJK,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Air Pistol, 10 metres",No Medal,170.0,100.0
Andrea Henkel (-Burke),F,32.0,159.0,49.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 10 kilometres Pursuit,No Medal,159.0,49.0
Andrej upka,M,23.0,181.0,76.0,Slovakia,SVK,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,No Medal,181.0,76.0
Leigh Francis Barczewski,M,20.0,186.0,84.0,United States,USA,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Men's Sprint,No Medal,186.0,84.0
Lara Heinz,F,23.0,174.0,66.0,Luxembourg,LUX,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Freestyle,No Medal,174.0,66.0
Goran Srbinovski,M,23.0,197.0,90.0,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Men's Volleyball,No Medal,197.0,90.0
Kazimierz Grecki,M,22.0,183.0,90.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,183.0,90.0
Gabriela Svobodov-Sekajov (-Soukalov),F,22.0,163.0,58.0,Czechoslovakia,TCH,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,163.0,58.0
Yvon Mougel,M,28.0,185.0,78.0,France,FRA,1984 Winter,1984,Winter,Sarajevo,Biathlon,Biathlon Men's 20 kilometres,No Medal,185.0,78.0
Jeong Mi-Ra,F,25.0,172.0,52.0,South Korea,KOR,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",No Medal,172.0,52.0
Viktor Nikolayevich Bykov,M,27.0,178.0,74.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,178.0,74.0
Ronny Weller,M,26.0,183.0,130.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver,183.0,130.0
Rubn Gustavo D'Andrilli,M,25.0,190.0,86.0,Argentina,ARG,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,No Medal,190.0,86.0
Konrad Hischier,M,28.0,168.0,65.0,Switzerland,SUI,1964 Winter,1964,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,168.0,65.0
Denny Morrison,M,24.0,183.0,81.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 1,000 metres",No Medal,183.0,81.0
Dejan Peri,M,29.0,184.0,81.0,Serbia and Montenegro,SCG,2000 Summer,2000,Summer,Sydney,Handball,Handball Men's Handball,No Medal,184.0,81.0
Andrea Ehrig-Schne-Mitscherlich,F,23.0,165.0,58.0,East Germany,GDR,1984 Winter,1984,Winter,Sarajevo,Speed Skating,"Speed Skating Women's 1,000 metres",Silver,165.0,58.0
Willem Kemp,M,27.0,185.0,95.0,South Africa,RSA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,No Medal,185.0,95.0
"Christine Seraphine ""Chris"" Prinsloo",F,28.0,156.0,47.0,Zimbabwe,ZIM,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Women's Hockey,Gold,156.0,47.0
"Elizabeth Lee ""Beth"" Heiden (-Reid)",F,20.0,157.0,48.0,United States,USA,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Women's 1,000 metres",No Medal,157.0,48.0
Peer Norrbohm (Nielsen-),M,22.0,179.0,79.0,Denmark,DEN,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze,179.0,79.0
Marina Viktorovna Poltoran-Litvinchuk,F,28.0,178.0,68.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,178.0,68.0
Yekaterina Mikhaylovna Martynova (-Sharmina),F,25.0,172.0,59.0,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",No Medal,172.0,59.0
Martin Mauricio Gison,M,42.0,173.0,61.0,Philippines,PHI,1956 Summer,1956,Summer,Melbourne,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",No Medal,173.0,61.0
Gurmeet Kaur Rai,F,30.0,175.0,74.0,India,IND,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Javelin Throw,No Medal,175.0,74.0
Steffi Krker (-Biskupek),F,16.0,156.0,43.0,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,No Medal,156.0,43.0
Pablo Pedroso Torriente,M,20.0,179.0,68.0,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Handball,Handball Men's Handball,No Medal,179.0,68.0
Damdinsrengiin Nyamkh,M,24.0,178.0,81.0,Mongolia,MGL,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Middleweight,No Medal,178.0,81.0
"Pamela Ann ""Pam"" Spencer (-Marquez)",F,18.0,184.0,68.0,United States,USA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's High Jump,No Medal,184.0,68.0
David Michael Veit,M,25.0,166.0,66.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,No Medal,166.0,66.0
Csar Mervin Marcano Snchez,M,24.0,177.0,76.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,No Medal,177.0,76.0
Megan Elizabeth Heinicke-Tandy,F,21.0,170.0,59.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 10 kilometres Pursuit,No Medal,170.0,59.0
Olga Charvtov (-Kriov),F,21.0,172.0,68.0,Czechoslovakia,TCH,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze,172.0,68.0
Vera Helena Mossa Leme,F,15.0,183.0,62.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,No Medal,183.0,62.0
"Josip ""Jozo"" Alebi",M,29.0,177.0,72.0,Yugoslavia,YUG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 400 metres,No Medal,177.0,72.0
Dieter Voigt,M,28.0,178.0,80.0,East Germany,GDR,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,178.0,80.0
Helga Hellebrand-Wiedermann,F,25.0,170.0,56.0,Austria,AUT,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",No Medal,170.0,56.0
Pawe Abratkiewicz,M,21.0,183.0,84.0,Poland,POL,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",No Medal,183.0,84.0
Abel Driggs Santos,M,28.0,170.0,74.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,170.0,74.0
ron Gdorfalvi,M,22.0,184.0,73.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Men's Windsurfer,No Medal,184.0,73.0
Santiago Ral Lange Roberti,M,46.0,184.0,73.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Bronze,184.0,73.0
Valeriu Vlas,M,24.0,172.0,52.0,Moldova,MDA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Marathon,No Medal,172.0,52.0
Rudolf Hhnl,M,21.0,158.0,71.0,Czechoslovakia,TCH,1968 Winter,1968,Winter,Grenoble,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",No Medal,158.0,71.0
Charles Thomas Clibbon,M,29.0,180.0,74.0,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,"Athletics Men's 10,000 metres",No Medal,180.0,74.0
Midori Furusawa,F,27.0,159.0,51.0,Japan,JPN,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,No Medal,159.0,51.0
Gabriela Huerta Trillo,F,21.0,173.0,59.0,Mexico,MEX,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No Medal,173.0,59.0
Khalid Boulami,M,26.0,167.0,60.0,Morocco,MAR,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 5,000 metres",Bronze,167.0,60.0
Andreas Gloerfeld,M,24.0,180.0,70.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's Long Jump,No Medal,180.0,70.0
Gang Hye-Ja,F,22.0,163.0,57.0,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Air Rifle, 10 metres",No Medal,163.0,57.0
Lynn Williams (Kanuka-),F,28.0,153.0,48.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",No Medal,153.0,48.0
Patrick John Harvey,M,24.0,170.0,63.0,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Modern Pentathlon,Modern Pentathlon Men's Team,No Medal,170.0,63.0
Anete Brice,F,18.0,164.0,50.0,Latvia,LAT,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,No Medal,164.0,50.0
Barbora potkov,F,31.0,182.0,80.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Javelin Throw,Gold,182.0,80.0
Mara Jos Martnez Snchez,F,29.0,176.0,68.0,Spain-1,ESP,2012 Summer,2012,Summer,London,Tennis,Tennis Women's Doubles,No Medal,176.0,68.0
Robert Wilson,M,25.0,180.0,91.0,Canada,CAN,1980 Winter,1980,Winter,Lake Placid,Bobsleigh,Bobsleigh Men's Four,No Medal,180.0,91.0
Gisele Lima de Oliveira,F,28.0,160.0,57.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Triple Jump,No Medal,160.0,57.0
Helmut Krause,M,22.0,199.0,93.0,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Quadruple Sculls,No Medal,199.0,93.0
Yerdos Zhaksimbinovich Akhmadiyev,M,28.0,180.0,72.0,Kazakhstan,KAZ,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,180.0,72.0
Terje Kojedal,M,26.0,189.0,85.0,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,No Medal,189.0,85.0
Nataliya Filimonovna Bestemyanova (-Bobrina),F,24.0,170.0,51.0,Soviet Union-1,URS,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,170.0,51.0
Abbas Jadidi,M,27.0,185.0,99.0,Iran,IRI,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,185.0,99.0
Beatrice Callegari,F,24.0,175.0,59.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,No Medal,175.0,59.0
Karl Gunnar Larsson,M,17.0,186.0,86.0,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Swimming,"Swimming Men's 1,500 metres Freestyle",No Medal,186.0,86.0
John Ernest Gillman,M,41.0,193.0,89.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Free Pistol, 50 metres",No Medal,193.0,89.0
Olga Tass-Lemhnyi (Todenbier-),F,23.0,160.0,57.0,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No Medal,160.0,57.0
"Cornelis ""Kees"" de Korver",M,21.0,169.0,50.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Fours,No Medal,169.0,50.0
Reika Utsugi,F,37.0,170.0,68.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Silver,170.0,68.0
Robert Rosser,M,28.0,178.0,75.0,United States,USA,1998 Winter,1998,Winter,Nagano,Biathlon,Biathlon Men's 20 kilometres,No Medal,178.0,75.0
Pascale Grossenbacher,F,18.0,152.0,40.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No Medal,152.0,40.0
Vinzenz Lps,M,24.0,190.0,99.0,Germany,GER,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,No Medal,190.0,99.0
Chia Kuo-Liang,M,21.0,176.0,65.0,Chinese Taipei,TPE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,176.0,65.0
Cristina Teuscher,F,22.0,185.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,185.0,68.0
Kaija-Liisa Keskivitikka,F,22.0,172.0,68.0,Finland,FIN,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Women's 1,500 metres",No Medal,172.0,68.0
Sven Olof Gunnar Johansson (-Tumba),M,28.0,188.0,81.0,Sweden,SWE,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,188.0,81.0
Vctor Jos Bisbal Meleno,M,24.0,194.0,104.0,Puerto Rico,PUR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,No Medal,194.0,104.0
Shanyn MacEachern,F,16.0,150.0,40.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Balance Beam,No Medal,150.0,40.0
"Federico ""Fritz"" Dennerlein",M,24.0,185.0,92.0,Italy,ITA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,185.0,92.0
Johannes Thingnes B,M,20.0,187.0,80.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,No Medal,187.0,80.0
Darryl Pearce,M,27.0,188.0,87.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Men's Basketball,No Medal,188.0,87.0
Marko Strahija,M,25.0,200.0,84.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,No Medal,200.0,84.0
Taylor Phillip Dent,M,23.0,187.0,88.0,United States,USA,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,No Medal,187.0,88.0
Karin Margareta Furuhed (-Johansson),F,17.0,171.0,58.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal,171.0,58.0
Aksel Lund Svindal,M,31.0,189.0,100.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Combined,No Medal,189.0,100.0
"Susan ""Susie"" O'Neill",F,27.0,171.0,63.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,No Medal,171.0,63.0
Jos Luis Elias,M,25.0,180.0,67.0,Peru,PER,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,No Medal,180.0,67.0
Jerzy Pawe Jokiel,M,20.0,168.0,61.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No Medal,168.0,61.0
Kim In-Seop,M,27.0,160.0,58.0,South Korea,KOR,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver,160.0,58.0
Witold Stachurski,M,25.0,176.0,71.0,Poland,POL,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Middleweight,No Medal,176.0,71.0
"Karin Enke-Kania (-Busch-, -Richter)",F,18.0,180.0,72.0,East Germany,GDR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,Speed Skating Women's 500 metres,Gold,180.0,72.0
Susan M. Blinks,F,42.0,167.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Individual",No Medal,167.0,68.0
"Jennifer ""Jenny"" Dahlgren Fitzner",F,24.0,180.0,110.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Hammer Throw,No Medal,180.0,110.0
Roman Yaroslavovych Zakharkiv,M,23.0,174.0,70.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,No Medal,174.0,70.0
Markus Opatril,M,23.0,184.0,72.0,Austria,AUT,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No Medal,184.0,72.0
Franois Jacques Florentin Lafortune,M,64.0,173.0,65.0,Belgium,BEL,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No Medal,173.0,65.0
"Timothy John ""Tim"" Grubb",M,30.0,170.0,55.0,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,170.0,55.0
Enrico Fabris,M,24.0,189.0,80.0,Italy,ITA,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold,189.0,80.0
"Robert ""Rob"" Edmonds",M,22.0,159.0,51.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,No Medal,159.0,51.0
"Michael Fred Phelps, II",M,23.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,193.0,91.0
Jamile Sara Samuel,F,24.0,168.0,59.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,No Medal,168.0,59.0
Peter Hans Walter Gotz,M,37.0,175.0,80.0,South Africa,RSA,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,175.0,80.0
Tina Magdalena Konyot,F,50.0,173.0,62.0,United States,USA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Dressage, Individual",No Medal,173.0,62.0
Istvn Hunor Mate,M,29.0,185.0,84.0,Austria,AUT,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Breaststroke,No Medal,185.0,84.0
"Robert John ""Rob"" Hayles",M,31.0,188.0,80.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",No Medal,188.0,80.0
Christian Dumont,M,28.0,184.0,76.0,France,FRA,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,No Medal,184.0,76.0
Romain Mesnil,M,35.0,188.0,79.0,France,FRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Pole Vault,No Medal,188.0,79.0
Frederik Carlo Hviid Khler,M,21.0,184.0,81.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Swimming,"Swimming Men's 1,500 metres Freestyle",No Medal,184.0,81.0
"Wijnand ""Wil"" van Beveren",M,24.0,184.0,80.0,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal,184.0,80.0
"Richard ""Rick"" Say",M,29.0,193.0,88.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No Medal,193.0,88.0
Monica Lanz,F,25.0,180.0,70.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,No Medal,180.0,70.0
Frank Roland Stoltz,M,36.0,190.0,89.0,Sweden,SWE,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,No Medal,190.0,89.0
"Michael E. ""Mike"" Anti",M,40.0,173.0,73.0,United States,USA,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No Medal,173.0,73.0
Carolyne Lepage,F,29.0,157.0,48.0,Canada,CAN,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Extra-Lightweight,No Medal,157.0,48.0
Kosei Akaishi,M,27.0,172.0,74.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,172.0,74.0
Kim Hyeong-Cheol,M,25.0,175.0,72.0,South Korea,KOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,No Medal,175.0,72.0
Enrique Garca Bustillos,M,25.0,165.0,64.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Horizontal Bar,No Medal,165.0,64.0
"Friedrich Josef Lienhard ""Fritz"" Dinkhauser",M,27.0,186.0,98.0,Austria-2,AUT,1968 Winter,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Four,No Medal,186.0,98.0
Pavla Davidov (-Podvnov),F,19.0,190.0,84.0,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,No Medal,190.0,84.0
Luis E. Larrosa Bustillo,M,26.0,203.0,90.0,Uruguay,URU,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,No Medal,203.0,90.0
Larisa Leonidovna Petrik (-Klimenko),F,19.0,163.0,52.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,163.0,52.0
Park Jin-Young,F,19.0,162.0,58.0,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,No Medal,162.0,58.0
Sini Tuuli Susanne Pyry (-Latvala),F,20.0,182.0,90.0,Finland,FIN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's Hammer Throw,No Medal,182.0,90.0
pela Rogelj,F,19.0,164.0,55.0,Slovenia,SLO,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Women's Normal Hill, Individual",No Medal,164.0,55.0
Vitzslav Vesel,M,29.0,186.0,93.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Javelin Throw,No Medal,186.0,93.0
Simon Shnapir,M,26.0,193.0,86.0,United States-1,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Pairs,No Medal,193.0,86.0
"John Robert ""J. R."" Celski",M,19.0,173.0,63.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",No Medal,173.0,63.0
Lorenzo Aragon Armenteros,M,22.0,163.0,69.0,Cuba,CUB,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,No Medal,163.0,69.0
Martin Verner,M,28.0,194.0,90.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,No Medal,194.0,90.0
Garry Jones,M,20.0,175.0,53.0,Australia,AUS,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,175.0,53.0
Constance Montgomery Wilson-Samuel (-Slatkin),F,28.0,165.0,59.0,Canada,CAN,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Figure Skating,Figure Skating Women's Singles,No Medal,165.0,59.0
Annika Louise Reeder,F,16.0,157.0,51.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,No Medal,157.0,51.0
Conny Wamuth,F,33.0,167.0,64.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",No Medal,167.0,64.0
John Houston Stockton,M,30.0,185.0,79.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold,185.0,79.0
Charel Sowa,M,31.0,168.0,65.0,Luxembourg,LUX,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,No Medal,168.0,65.0
Georgy Olegovich Grebenkov,M,22.0,172.0,70.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,No Medal,172.0,70.0
Miguel Garca Fernndez,M,23.0,184.0,84.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",No Medal,184.0,84.0
Devon Kershaw,M,27.0,178.0,72.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,178.0,72.0
Samantha McIntosh,F,24.0,165.0,50.0,Bulgaria,BUL,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",No Medal,165.0,50.0
Godfrey Khotso Mokoena,M,27.0,190.0,76.0,South Africa,RSA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Long Jump,No Medal,190.0,76.0
"Athanasios ""Thanasis"" Oikonomou",M,22.0,188.0,73.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,No Medal,188.0,73.0
Tim Male,M,24.0,186.0,70.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No Medal,186.0,70.0
Gabriela Broskov (Zamikov-),F,22.0,167.0,56.0,Slovakia,SVK,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No Medal,167.0,56.0
Aubrey Bryce,M,19.0,178.0,68.0,Guyana,GUY,1968 Summer,1968,Summer,Mexico City,Cycling,Cycling Men's Sprint,No Medal,178.0,68.0
Ral Manuel Pacheco Mendoza,M,33.0,167.0,55.0,Peru,PER,2012 Summer,2012,Summer,London,Athletics,Athletics Men's Marathon,No Medal,167.0,55.0
Jean-Marie Vianney Rudasingwa,M,23.0,175.0,68.0,Rwanda,RWA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 800 metres,No Medal,175.0,68.0
